feature,total_abs_z,pct_contribution,cumulative_pct,is_pareto_critical
Pressure_Bar_mean,513.6110340019216,9.361814443723956,9.361814443723956,True
Humidity_Percent_min,256.85754900132366,4.681855632040665,14.04367007576462,True
Lubricant_Conc,250.28930628795405,4.562133380311006,18.605803456075627,True
Friability_inv,216.57652863046638,3.947635739260052,22.553439195335677,True
Friability,216.57652863046633,3.9476357392600505,26.501074934595728,True
Drying_Time,215.84378735683032,3.934279741462284,30.43535467605801,True
Machine_Speed,191.25439130788538,3.486077993731529,33.92143266978954,True
Compression_Force,183.2578879864683,3.340322207080246,37.26175487686979,True
Binder_Amount,170.9749624249908,3.116435915080927,40.378190791950715,True
Hardness,170.82763333145914,3.113750482828706,43.49194127477942,True
Granulation_Time,169.5307469378442,3.0901115635535255,46.58205283833295,True
Dissolution_Rate,167.7613181853814,3.0578594066579154,49.63991224499087,True
Compression_Force_kN_std,152.58199148974268,2.7811791359908646,52.421091380981736,True
Content_Uniformity,152.46329208164343,2.7790155496197806,55.200106930601514,True
Compression_Force_kN_max,146.7688447113739,2.6752203503137317,57.87532728091524,True
Drying_Temp,144.21079666921258,2.62859368242023,60.503920963335474,True
Moisture_Content,135.50000000000006,2.4698181564375243,62.973739119773,True
Tablet_Weight,128.11491374406148,2.3352069378266442,65.30894605759964,True
Disintegration_Time,127.66744180710192,2.3270506698236995,67.63599672742335,True
Flow_Rate_LPM_mean,123.3245071341509,2.2478900874806995,69.88388681490405,True
Humidity_Percent_max,118.75636776306703,2.164624599954205,72.04851141485825,True
Humidity_Percent_std,98.75668804883084,1.8000816325656015,73.84859304742386,True
Flow_Rate_LPM_std,96.0585579591047,1.750901627517365,75.59949467494123,True
Compression_Force_kN_mean,95.4021139922752,1.7389363343220932,77.33843100926332,True
Pressure_Bar_std,85.9718501651868,1.567046763693761,78.90547777295708,True
total_energy_kwh,83.85079257137984,1.5283853130957237,80.43386308605281,True
vibration_spikes,83.38566013908914,1.5199071394690113,81.95377022552182,False
Power_Consumption_kW_std,76.17991150453986,1.3885647866399728,83.3423350121618,False
Temperature_C_mean,71.42439873684685,1.301883961718802,84.6442189738806,False
Temperature_C_min,64.33082785353943,1.1725863221500255,85.81680529603062,False
Temperature_C_max,63.15972806403428,1.1512401706878854,86.96804546671851,False
Temperature_C_std,60.637300636729925,1.1052627754240307,88.07330824214255,False
Pressure_Bar_min,56.652016365447565,1.0326212444145988,89.10592948655714,False
Power_Consumption_kW_mean,56.14649862780698,1.0234069500468794,90.12933643660402,False
Pressure_Bar_max,55.18224695218841,1.005831110225344,91.13516754682936,False
Vibration_mm_s_std,53.798053326823336,0.980600803598394,92.11576835042776,False
Flow_Rate_LPM_max,50.827483049004044,0.9264549112948387,93.0422232617226,False
Power_Consumption_kW_max,49.00234642665082,0.8931873425282921,93.93541060425089,False
Humidity_Percent_mean,48.22079899821011,0.8789417334590677,94.81435233770996,False
Motor_Speed_RPM_max,47.949417957870466,0.8739951517561618,95.68834748946612,False
Vibration_mm_s_mean,47.693282194074115,0.8693264524208316,96.55767394188696,False
Motor_Speed_RPM_std,41.94429349385095,0.7645371042808662,97.32221104616782,False
Vibration_mm_s_max,40.322829667378414,0.7349819692356372,98.05719301540346,False
Vibration_mm_s_min,38.96072951916734,0.7101543701438441,98.7673473855473,False
Motor_Speed_RPM_mean,37.065607633033025,0.6756111491620238,99.44295853470932,False
Power_Consumption_kW_min,30.560597487777017,0.5570414652907059,100.00000000000003,False
Motor_Speed_RPM_min,0.0,0.0,100.00000000000003,False
Compression_Force_kN_min,0.0,0.0,100.00000000000003,False
Flow_Rate_LPM_min,0.0,0.0,100.00000000000003,False
