feature,reg_importance,clf_importance,avg_importance
Disintegration_Time_delta,0.006467248211324679,0.4077929396520268,0.20713009393167572
Compression_Force_kN_mean_delta,0.3338946823309736,0.036640128797551526,0.18526740556426255
Humidity_Percent_min_delta,0.27303839047275935,0.00010041693496576821,0.13656940370386256
Tablet_Weight_delta,0.19031685435319162,0.00048509506983166546,0.09540097471151164
Humidity_Percent_max_roll_std,0.004701553920585156,0.14669739892095726,0.07569947642077121
n_oor_roll_mean,0.008808576922801051,0.06463041599123057,0.03671949645701581
Flow_Rate_LPM_std_roll_mean,0.0005761262437031468,0.04951418588192207,0.025045156062812608
Friability_delta,0.04048049497872447,0.00028258376868309216,0.02038153937370378
Flow_Rate_LPM_std_delta,0.00535998501317692,0.03497710987073706,0.02016854744195699
Pressure_Bar_mean_delta,0.038881046419431894,0.00044017368499471967,0.01966061005221331
Flow_Rate_LPM_std_roll_std,0.004454911036180608,0.028556021154771884,0.016505466095476245
total_energy_kwh_roll_std,0.004727977530451443,0.02226013824961303,0.013494057890032236
Dissolution_Rate_roll_mean,0.0012048753324204302,0.023043680464992358,0.012124277898706393
Pressure_Bar_std_roll_mean,0.0008177628674194963,0.02036002744141173,0.010588895154415613
Moisture_Content_roll_mean,3.692710057791524e-06,0.01863850599117463,0.00932109935061621
Flow_Rate_LPM_mean_roll_std,0.003243675415969682,0.013826078328170966,0.008534876872070324
Humidity_Percent_min_roll_mean,0.011591896978678668,0.004688329906051844,0.008140113442365256
Humidity_Percent_std_roll_mean,0.0021970515440294554,0.012370808933349535,0.007283930238689495
Content_Uniformity_delta,0.0032085207219917844,0.01026336209320287,0.006735941407597328
Pressure_Bar_mean_roll_std,0.00040938353885718276,0.011909560209638797,0.00615947187424799
Humidity_Percent_min_roll_std,0.0008197522461993742,0.010740395866881252,0.005780074056540314
Compression_Force_delta,0.007067460996972602,0.0022481032990205076,0.004657782147996555
Disintegration_Time_roll_std,0.004061179214479831,0.004834098407578151,0.004447638811028991
Moisture_Content_roll_std,4.955585846880724e-06,0.008781848081703245,0.004393401833775063
Dissolution_Rate_delta,0.0012341255072289268,0.006759843903068824,0.003996984705148875
Content_Uniformity_roll_mean,0.0032680120382087598,0.004630645575008527,0.003949328806608643
Humidity_Percent_max_roll_mean,0.0007501664728769934,0.0069537367938278995,0.0038519516333524466
Compression_Force_roll_mean,0.0002932583572944616,0.006890497850936277,0.0035918781041153693
Compression_Force_kN_mean_roll_std,0.00606049637812746,8.390765316367203e-05,0.003072202015645566
dev_roll_mean,0.0011647701183379658,0.0040595500642503805,0.0026121600912941733
Hardness_roll_std,9.34968073459054e-05,0.004939844208646639,0.002516670507996272
Humidity_Percent_max_delta,0.003641002726754866,0.0008896470213627961,0.002265324874058831
Moisture_Content_delta,0.00024153037603583458,0.004261727620818285,0.0022516289984270597
Compression_Force_kN_std_roll_mean,0.003741033571465575,0.0002427327793072676,0.0019918831753864214
total_energy_kwh_delta,0.003776117182345413,0.00014365083640362176,0.0019598840093745175
